"","month","wy","load","yield","load_yield_adj","pH_mean","gpp_mean","precip_mean","cc_cumulative_precip","cc_precip_sd_year","cc_precip_sd_space","cc_temp_mean","cc_temp_sd_year","cc_temp_sd_space","va_gpp_sum","va_gpp_sd_year","va_gpp_sd_space","va_npp_median","va_npp_sd"
"1",4,1986,3240718792565.59,64550834.3788675,50204.1348303087,4.98942857142857,372.956444746667,1.38026666442553,1258.569,7.6708,0,4.9786,10.2075,0,12028.3807,581.8956,27.5774,7160.0629,305.194
"2",5,1986,2098889611648.94,33221266.8242873,63179.0961720488,5.10768049155146,1107.43024199214,3.25380640461921,1258.569,7.6708,0,4.9786,10.2075,0,12028.3807,581.8956,27.5774,7160.0629,305.194
"3",6,1986,545729160718.853,8484414.69064935,64321.3681340093,5.24623015873016,1348.59548742188,3.08143331382113,1258.569,7.6708,0,4.9786,10.2075,0,12028.3807,581.8956,27.5774,7160.0629,305.194
"4",4,1987,3632610959578.49,68325614.6666834,53166.1658266765,5.11512698412698,359.002884522083,4.19983330471441,1111.043,7.0937,0,5.3256,10.4454,0,12223.9152,608.977,29.1496,7110.6738,304.6122
"5",5,1987,1348481758236.03,21266924.1423962,63407.4654711257,5.2410599078341,1060.40629637036,1.77122581545864,1111.043,7.0937,0,5.3256,10.4454,0,12223.9152,608.977,29.1496,7110.6738,304.6122
"6",6,1987,2714538528810.82,44309667.8803911,61262.894954176,5.23338095238095,1529.64746941771,6.11650000810623,1111.043,7.0937,0,5.3256,10.4454,0,12223.9152,608.977,29.1496,7110.6738,304.6122
"7",4,1988,4066441494017.98,73802361.3551417,55099.0702648389,5.10852380952381,343.692933684375,3.85103341486926,1006.631,7.5919,0,4.8925,11.2402,0,11639.3479,566.2988,29.7116,6566.0045,294.456
"8",5,1988,1732158836327.73,27702084.2683876,62528.1050893485,5.25645161290323,1078.12277042823,3.12609677449349,1006.631,7.5919,0,4.8925,11.2402,0,11639.3479,566.2988,29.7116,6566.0045,294.456
"9",6,1988,226467534565.613,3219392.92272527,70344.7948111609,5.47480952380952,1277.16114092188,1.3516999906317,1006.631,7.5919,0,4.8925,11.2402,0,11639.3479,566.2988,29.7116,6566.0045,294.456
"10",4,1989,4631068541948.99,89051134.6550889,52004.5989294347,5.04418452380952,319.875473966667,2.5632999593392,1212.898,7.0222,0,4.3015,11.8218,0,12321.8394,613.722,25.2481,7174.1328,326.7428
"11",5,1989,4130347505841.21,76262257.2836738,54159.7856260338,5.05463709677419,1121.53438890202,5.3603870375833,1212.898,7.0222,0,4.3015,11.8218,0,12321.8394,613.722,25.2481,7174.1328,326.7428
"12",6,1989,2010446819295.84,34973443.4993999,57484.9548152254,5.1382380952381,1429.9003174,5.11799998482068,1212.898,7.0222,0,4.3015,11.8218,0,12321.8394,613.722,25.2481,7174.1328,326.7428
"13",4,1990,3286994656610.81,58271829.2058811,56407.953918822,5.00507142857143,332.03203432,2.49600002914667,1495.654,9.6966,0,6.4251,9.8758,0,12299.1114,604.5003,31.8696,7143.778,332.9728
"14",5,1990,3771973991419.37,67149975.282628,56172.3809360091,5.08714285714286,856.690456025806,5.31564517030793,1495.654,9.6966,0,6.4251,9.8758,0,12299.1114,604.5003,31.8696,7143.778,332.9728
"15",6,1990,3002968200306.69,50063730.7483105,59982.9088927422,5.13241071428571,1474.42940428542,4.81483328428585,1495.654,9.6966,0,6.4251,9.8758,0,12299.1114,604.5003,31.8696,7143.778,332.9728
"16",4,1991,3136741983610.14,56956420.6173394,55072.6669550442,5.00754761904762,464.554908093958,2.2746667077144,1135.175,7.6241,0,6.0275,10.6384,0,13064.7505,632.8369,29.0735,7543.1803,332.76
"17",5,1991,1555037195902.4,24188142.4097143,64289.2360050714,5.2105529953917,1270.60696984073,2.82219352615216,1135.175,7.6241,0,6.0275,10.6384,0,13064.7505,632.8369,29.0735,7543.1803,332.76
"18",6,1991,201166549495.989,2791807.14728801,72056.0335592682,5.3237619047619,1520.38027408958,1.72856666520238,1135.175,7.6241,0,6.0275,10.6384,0,13064.7505,632.8369,29.0735,7543.1803,332.76
"19",4,1992,4239269538436.56,87179754.5658373,48626.7661517113,5.10366666666667,310.15918881,1.89953331798315,1003.66,6.0027,0,4.4518,10.3787,0,12134.1043,614.3076,27.3482,7415.9824,282.5316
"20",5,1992,1436225713215.43,26080495.8783896,55068.9572741404,5.15596774193548,956.183759625,1.18416128571956,1003.66,6.0027,0,4.4518,10.3787,0,12134.1043,614.3076,27.3482,7415.9824,282.5316
"21",6,1992,503461673693.074,8200822.22884864,61391.6092366946,5.29121428571429,1487.5714404175,3.14533335255304,1003.66,6.0027,0,4.4518,10.3787,0,12134.1043,614.3076,27.3482,7415.9824,282.5316
"22",4,1993,5777414873897.56,118512188.586748,48749.5416529975,5.03202380952381,384.695584734792,2.75766663849354,1084.373,6.1706,0,4.8184,11.1627,0,11976.8615,602.9382,21.7086,6987.2525,246.3292
"23",5,1993,798577252818.167,13305975.0812153,60016.4398282664,5.14596774193548,936.542547275,0.995096789612885,1084.373,6.1706,0,4.8184,11.1627,0,11976.8615,602.9382,21.7086,6987.2525,246.3292
"24",6,1993,678228319345.394,11086309.0269749,61177.1075201988,5.29230952380952,1465.66666666667,2.96616664658844,1084.373,6.1706,0,4.8184,11.1627,0,11976.8615,602.9382,21.7086,6987.2525,246.3292
"25",4,1994,7206840699141.69,151912751.540425,47440.6567326504,5.0012380952381,297.545937641667,2.50926663942325,1106,6.0563,0,4.9602,11.6162,0,12536.4789,624.0729,24.8218,7354.6324,263.3118
"26",5,1994,1983928426928.83,36219916.0148521,54774.5175917943,5.11179723502304,983.533594230645,3.35464516642594,1106,6.0563,0,4.9602,11.6162,0,12536.4789,624.0729,24.8218,7354.6324,263.3118
"27",6,1994,492965049682.779,7850666.65462537,62792.7628785944,5.3965,1519.58333333333,3.07776661442282,1106,6.0563,0,4.9602,11.6162,0,12536.4789,624.0729,24.8218,7354.6324,263.3118
"28",4,1995,1717054431310.88,26770175.2238242,64140.574985209,5.13990476190476,274.9184657,1.43980000441273,1185.204,8.1695,0,5.289,10.8762,0,12208.7844,619.7555,23.7121,6955.9324,258.1219
"29",5,1995,1853913397834.9,28101356.5436643,65972.3809046107,5.20913978494624,1083.55252096129,2.47290321059465,1185.204,8.1695,0,5.289,10.8762,0,12208.7844,619.7555,23.7121,6955.9324,258.1219
"30",6,1995,493593398303.156,7031648.33485714,70195.9732338042,5.36374603174603,1549.3125,1.23746664424737,1185.204,8.1695,0,5.289,10.8762,0,12208.7844,619.7555,23.7121,6955.9324,258.1219
"31",4,1996,6548989010925.95,136667814.834193,47919.0292086784,5.10861904761905,330.321217925,5.41136666138967,1539.155,9.5784,0,5.1302,10.6958,0,12637.4646,628.8582,22.3965,7491.7619,292.0395
"32",5,1996,3614306423179.76,71880914.3216407,50281.864905155,5.21956221198157,923.559185491936,5.31554831113786,1539.155,9.5784,0,5.1302,10.6958,0,12637.4646,628.8582,22.3965,7491.7619,292.0395
"33",6,1996,1716504541792.5,30465438.291563,56342.6833175698,5.317,1506.55625,3.85470003330071,1539.155,9.5784,0,5.1302,10.6958,0,12637.4646,628.8582,22.3965,7491.7619,292.0395
"34",4,1997,5441568885000.62,122647530.902425,44367.5371608563,5.06297619047619,221.745581479167,2.89346671303113,1177.644,7.0063,0,4.5219,10.3699,0,12096.8731,621.7113,19.5594,7179.2401,251.3895
"35",5,1997,2731004472998.19,55417844.357518,49280.2364411653,5.1458064516129,897.652782697581,2.6337419507965,1177.644,7.0063,0,4.5219,10.3699,0,12096.8731,621.7113,19.5594,7179.2401,251.3895
"36",6,1997,500215759427.132,7508220.49648352,66622.4120164569,5.46185714285714,1487.55208333333,2.24779999255358,1177.644,7.0063,0,4.5219,10.3699,0,12096.8731,621.7113,19.5594,7179.2401,251.3895
"37",4,1998,2540440958191.39,47562989.8722226,53412.1375678075,5.19028571428571,539.500570400625,1.98206665683538,1326.322,8.4014,0,6.7954,9.6147,0,13415.2978,616.2683,25.2387,7955.6754,304.3808
"38",5,1998,1630917304986.57,25204589.163479,64707.1568756112,5.33947004608295,1181.62298387097,2.57561292420817,1326.322,8.4014,0,6.7954,9.6147,0,13415.2978,616.2683,25.2387,7955.6754,304.3808
"39",6,1998,5335304149436.77,97916344.398488,54488.3919248844,5.25347619047619,1453.23958333333,10.5043001241361,1326.322,8.4014,0,6.7954,9.6147,0,13415.2978,616.2683,25.2387,7955.6754,304.3808
"40",4,1999,3079601751286.51,52962771.769074,58146.5366788969,5.12473015873016,374.262569459583,0.439400003353755,1257.228,9.564,0,6.4139,10.5466,0,12568.4042,610.5063,27.2419,7083.8054,278.5261
"41",5,1999,2942781032148.22,47604727.3173759,61816.9916724657,5.29294930875576,1093.65772334274,3.07177418175589,1257.228,9.564,0,6.4139,10.5466,0,12568.4042,610.5063,27.2419,7083.8054,278.5261
"42",6,1999,432571874320.751,5987009.52630088,72251.7431149,5.4855,1465.98958333333,2.20876670985793,1257.228,9.564,0,6.4139,10.5466,0,12568.4042,610.5063,27.2419,7083.8054,278.5261
"43",4,2000,6249464343574.89,120545950.715997,51843.0051482896,4.96552380952381,314.33831601875,5.20350001540501,1245.823,6.882,0,4.987,10.5127,0,12614.3976,626.1387,32.7082,7562.8848,270.3927
"44",5,2000,3189448933491.63,54578328.9629583,58438.0099958039,5.14612903225806,995.044563095161,4.05041942865618,1245.823,6.882,0,4.987,10.5127,0,12614.3976,626.1387,32.7082,7562.8848,270.3927
"45",6,2000,626439694579.493,9502346.39705095,65924.7377862281,5.37290476190476,1491.2862866025,2.88810002276053,1245.823,6.882,0,4.987,10.5127,0,12614.3976,626.1387,32.7082,7562.8848,270.3927
"46",4,2001,6404956867824.1,117254338.397957,54624.4766320366,5.36123809523809,359.974361091667,0.938299981908252,882.214,6.4169,0,6.0203,10.4776,0,13545.3884,641.925,26.4726,7548.6178,288.6231
"47",5,2001,760761635505.409,11966695.7420159,63573.2412611044,5.48596774193548,1085.27525508306,1.39712901653782,882.214,6.4169,0,6.0203,10.4776,0,13545.3884,641.925,26.4726,7548.6178,288.6231
"48",6,2001,1418336287201.62,25313093.3915319,56031.7249758221,5.53658333333333,1526.92708333333,3.51183335984436,882.214,6.4169,0,6.0203,10.4776,0,13545.3884,641.925,26.4726,7548.6178,288.6231
"49",4,2002,6785311462026.58,134697458.053812,50374.4581379987,5.13630952380952,325.982492475208,3.57499999602636,1053.531,6.382,0,5.797,10.3576,0,12488.9087,622.3594,23.6199,6931.2006,259.124
"50",5,2002,2509369437269.8,44040609.2111329,56978.5359970784,5.25841013824885,985.596877402419,3.02422582910907,1053.531,6.382,0,5.797,10.3576,0,12488.9087,622.3594,23.6199,6931.2006,259.124
"51",6,2002,1564595516815.02,26352674.4647395,59371.41290568,5.3475,1440.20833333333,4.00026665261636,1053.531,6.382,0,5.797,10.3576,0,12488.9087,622.3594,23.6199,6931.2006,259.124
"52",4,2003,2416146420822.25,44440971.7306335,54367.5425341067,5.1715,364.750798800833,1.67396667046705,1368.004,8.366,0,4.9354,11.5031,0,13455.5528,652.0153,27.2334,7746.1504,303.4415
"53",5,2003,2815741742986.71,49101171.5025618,57345.7141005242,5.19774193548387,1071.1069022121,3.99958062748755,1368.004,8.366,0,4.9354,11.5031,0,13455.5528,652.0153,27.2334,7746.1504,303.4415
"54",6,2003,765199309856.68,12325422.7631268,62083.0071765066,5.43983333333333,1521.36458333333,1.8261333492895,1368.004,8.366,0,4.9354,11.5031,0,13455.5528,652.0153,27.2334,7746.1504,303.4415
"55",4,2004,3320393130031.86,64580576.6232541,51414.7334019971,5.17345238095238,467.0369876475,4.01426661908627,1105.499,7.1357,0,5.1848,10.9162,0,13685.5405,638.3706,26.9145,8131.1135,296.7621
"56",5,2004,2775348063409.05,51005460.0023002,54412.764109644,5.23778801843318,1203.52508453145,4.9040645380174,1105.499,7.1357,0,5.1848,10.9162,0,13685.5405,638.3706,26.9145,8131.1135,296.7621
"57",6,2004,602019478372.019,10061349.1191369,59834.8662036751,5.52326190476191,1462.90625,2.44916666249434,1105.499,7.1357,0,5.1848,10.9162,0,13685.5405,638.3706,26.9145,8131.1135,296.7621
"58",4,2005,6383148042291.74,133258718.186979,47900.4160413383,5.15063095238095,317.578986122917,5.24833332051834,1642.979,9.5737,0,6.0148,11.0094,0,13646.5511,652.0781,29.0578,7579.6716,302.1647
"59",5,2005,1790808386358.92,33344473.5366234,53706.3026168944,5.35072580645161,1030.59504730524,4.30680645858088,1642.979,9.5737,0,6.0148,11.0094,0,13646.5511,652.0781,29.0578,7579.6716,302.1647
"60",6,2005,2391603211995.68,42217366.5001511,56649.7489128585,5.46540476190476,1518.47309746458,5.68833332359791,1642.979,9.5737,0,6.0148,11.0094,0,13646.5511,652.0781,29.0578,7579.6716,302.1647
"61",4,2006,1732800927779.16,31012945.4496623,55873.4716311192,5.35066666666667,388.591304337917,2.57993331514299,1544.39,9.605,0,6.8883,9.495,0,13174.7411,620.6343,34.4453,7635.292,268.6596
"62",5,2006,4372932138826.34,78820899.5167086,55479.3483154726,5.37161290322581,911.449069648387,7.65845151941082,1544.39,9.605,0,6.8883,9.495,0,13174.7411,620.6343,34.4453,7635.292,268.6596
"63",6,2006,1839418496039.68,31637722.556927,58140.0412981669,5.54252380952381,1518.625,7.6156666636467,1544.39,9.605,0,6.8883,9.495,0,13174.7411,620.6343,34.4453,7635.292,268.6596
"64",4,2007,3923729864724.34,89612256.3040383,43785.6385560902,5.19266666666667,332.165919010833,4.76383331014464,1272.168,6.8799,0,5.2097,11.2415,0,13555.6616,653.6992,32.8038,7987.4985,294.7018
"65",5,2007,1535941466675.03,27818997.5118549,55211.9631924369,5.44403225806452,1119.14384354274,3.1160644773514,1272.168,6.8799,0,5.2097,11.2415,0,13555.6616,653.6992,32.8038,7987.4985,294.7018
"66",6,2007,515259755554.001,8286925.08090226,62177.4362050708,5.72571428571429,1611.95204474167,2.90483333173518,1272.168,6.8799,0,5.2097,11.2415,0,13555.6616,653.6992,32.8038,7987.4985,294.7018
"67",4,2008,8402296390884.51,168470078.087193,49874.1170318438,5.30214285714286,444.7037772425,3.72106659909089,1625.47,9.206,0,5.6001,10.3612,0,14261.0789,702.1269,34.3651,8395.9026,305.133
"68",5,2008,1070659980054.08,19327043.2264615,55396.9879152643,5.56101382488479,1150.31334912339,0.863419361172184,1625.47,9.206,0,5.6001,10.3612,0,14261.0789,702.1269,34.3651,8395.9026,305.133
"69",6,2008,620480420600.629,10780101.6787887,57557.9376789651,5.68514285714286,1750.325,4.81006668097495,1625.47,9.206,0,5.6001,10.3612,0,14261.0789,702.1269,34.3651,8395.9026,305.133
"70",4,2009,4281505375527.66,81942305.7974297,52250.2428246529,5.37052380952381,584.781434542083,2.57996663494268,1373.772,7.9321,0,5.4143,10.7339,0,13826.1615,640.3595,36.4366,8275.8517,298.2289
"71",5,2009,2644426543635.18,41935941.3264292,63058.7143150306,5.57177419354839,1171.74694805968,4.24267746171644,1373.772,7.9321,0,5.4143,10.7339,0,13826.1615,640.3595,36.4366,8275.8517,298.2289
"72",6,2009,1991455202165.32,32997805.4129577,60351.1408483943,5.69590476190476,1496.26579407917,5.48426678075145,1373.772,7.9321,0,5.4143,10.7339,0,13826.1615,640.3595,36.4366,8275.8517,298.2289
"73",4,2010,2938146145411.68,50837484.1223851,57794.8770702038,5.528,540.854453141042,2.84940001269182,1405.173,8.6551,0,7.3891,10.3364,0,13758.4163,635.7247,34.2193,7899.6554,279.077
"74",5,2010,1636951215293.86,26133711.1949074,62637.5336853364,5.66502304147465,1215.86290322339,1.66364514827728,1405.173,8.6551,0,7.3891,10.3364,0,13758.4163,635.7247,34.2193,7899.6554,279.077
"75",6,2010,1667787671054.07,30176438.8268502,55267.8757299259,5.76419047619048,1476.375,4.69933333383718,1405.173,8.6551,0,7.3891,10.3364,0,13758.4163,635.7247,34.2193,7899.6554,279.077
"76",4,2011,6963109364816.76,157866611.593439,44107.5493705356,5.30233333333333,345.07970276125,5.62060002187888,1647.286,10.2129,0,6.8687,10.7871,0,13752.3762,665.1994,31.5477,7778.6731,278.3822
"77",5,2011,3461316455118.75,61022401.4739429,56722.0622511352,5.47797235023041,1241.90335259677,4.16490330426924,1647.286,10.2129,0,6.8687,10.7871,0,13752.3762,665.1994,31.5477,7778.6731,278.3822
"78",6,2011,998678370017.429,15081608.5134201,66218.2929048165,5.80788095238095,1568.39583333333,3.58113342324893,1647.286,10.2129,0,6.8687,10.7871,0,13752.3762,665.1994,31.5477,7778.6731,278.3822
"79",4,2012,2248838689848.3,37900220.4418065,59335.7680676624,5.62571428571429,509.716112078125,3.13616663906335,1375.782,9.0461,0,7.6578,9.8811,0,14664.7691,666.2762,36.9067,8251.4509,317.4769
"80",5,2012,6461428221358.89,102092074.454697,63290.2040229,5.6858064516129,1275.75529650081,5.65193539761728,1375.782,9.0461,0,7.6578,9.8811,0,14664.7691,666.2762,36.9067,8251.4509,317.4769
"81",6,2012,3681944084413.94,62742281.1778212,58683.6183717762,5.73509523809524,1693.05625,4.34096671925702,1375.782,9.0461,0,7.6578,9.8811,0,14664.7691,666.2762,36.9067,8251.4509,317.4769
"82",4,2013,4134684674553.35,67691796.6,61081.0302315621,5.59638095238095,534.930538225417,2.12016665892055,1201.474,6.6952,0,6.4677,10.9753,0,13791.0064,630.3461,32.1122,7682.6522,318.8454
"83",5,2013,2149541423350.19,33174784.98,64794.4342260568,5.75414746543779,1131.95001462016,4.33209683433656,1201.474,6.6952,0,6.4677,10.9753,0,13791.0064,630.3461,32.1122,7682.6522,318.8454
"84",6,2013,2123937999329.39,35454626.28,59905.8070040214,5.8405,1436.35416666667,4.95020002660652,1201.474,6.6952,0,6.4677,10.9753,0,13791.0064,630.3461,32.1122,7682.6522,318.8454
"85",4,2014,8317485096878.12,139935227.67,59438.1074399128,5.43,358.952819365,2.23310000393152,1336.816,9.2217,0,5.5674,11.2174,0,13954.9407,670.7286,34.8088,8083.9305,309.7658
"86",5,2014,3270255916885.51,51955703.01,62943.155946828,5.60036866359447,1219.86391550484,3.74958060566156,1336.816,9.2217,0,5.5674,11.2174,0,13954.9407,670.7286,34.8088,8083.9305,309.7658
"87",6,2014,2713932544177.74,34907668.77,77746.0265839958,5.93845238095238,1621.44791666667,4.73113342002034,1336.816,9.2217,0,5.5674,11.2174,0,13954.9407,670.7286,34.8088,8083.9305,309.7658
"88",4,2015,4516116291270.48,81490986.72,55418.5987069673,5.50197619047619,485.590817462083,2.32900000164906,1306.448,9.4308,0,5.8304,11.6653,0,15480.6026,706.007,32.6836,8871.1883,353.8012
"89",5,2015,759494109566.306,10923923.13,69525.7647392752,5.86781460475009,1349.94316055161,2.02938706727488,1306.448,9.4308,0,5.8304,11.6653,0,15480.6026,706.007,32.6836,8871.1883,353.8012
"90",6,2015,3345502925992.59,51764783.73,64628.9366037422,5.64080586080586,1742.30208333333,7.18356657528008,1306.448,9.4308,0,5.8304,11.6653,0,15480.6026,706.007,32.6836,8871.1883,353.8012
"91",4,2016,1926533049843.23,30851400.96,62445.5613001513,5.70885714285714,458.1557756375,2.42589996059736,1229.993,7.5496,0,6.9651,10.4351,0,15816.6828,703.0479,36.8061,9048.0796,348.4744
"92",5,2016,1583370710225.72,22104655.17,71630.6451310149,5.76497695852535,1385.42786888065,2.70719355729318,1229.993,7.5496,0,6.9651,10.4351,0,15816.6828,703.0479,36.8061,9048.0796,348.4744
"93",6,2016,729254008660.32,10475149.68,69617.5263302128,5.96533333333333,1709.0875,3.78976665847003,1229.993,7.5496,0,6.9651,10.4351,0,15816.6828,703.0479,36.8061,9048.0796,348.4744
"94",4,2017,4969284562241.75,99315198.3,50035.4895051521,5.60833333333333,482.511484745833,3.97629996488492,1524.728,9.8375,0,6.3681,10.8045,0,14898.6384,677.0654,40.5745,8674.299,344.7683
"95",5,2017,2538013679391.55,43515199.14,58324.7630609728,5.69887096774194,1101.4097686621,5.8405806318286,1524.728,9.8375,0,6.3681,10.8045,0,14898.6384,677.0654,40.5745,8674.299,344.7683
"96",6,2017,1400279126761.43,23094025.8,60633.8253402935,5.90008333333333,1681.02083333333,5.7355334063371,1524.728,9.8375,0,6.3681,10.8045,0,14898.6384,677.0654,40.5745,8674.299,344.7683
"97",4,2018,4416645963814.83,82676410.89,53420.8720029118,5.58422222222222,437.214662841458,4.20396665607889,1378.05,7.7328,0,6.0045,11.0485,0,14936.8722,706.5061,34.9443,8356.0714,348.1951
"98",5,2018,1353860452171.57,23642073.24,57264.8785251613,5.85677419354839,1315.9104926129,1.57377419164104,1378.05,7.7328,0,6.0045,11.0485,0,14936.8722,706.5061,34.9443,8356.0714,348.1951
"99",6,2018,644730903325.129,11096868.81,58100.2546181429,6.092125,1643.09375,4.14006664802631,1378.05,7.7328,0,6.0045,11.0485,0,14936.8722,706.5061,34.9443,8356.0714,348.1951
"100",4,2019,6914256303723.91,155446879.05,44479.865700616,5.5625,477.962983964167,5.80949998299281,1502.821,8.1161,0,5.6427,10.9055,0,15170.9375,701.3669,37.9726,8726.4536,324.4699
"101",5,2019,3212284119037.47,59502575.76,53985.6313446669,5.69325806451613,1236.51312132601,5.33480642868146,1502.821,8.1161,0,5.6427,10.9055,0,15170.9375,701.3669,37.9726,8726.4536,324.4699
"102",6,2019,2283264317191.4,37228362.27,61331.3124179877,5.96613333333333,1642.88746109063,5.4400999824206,1502.821,8.1161,0,5.6427,10.9055,0,15170.9375,701.3669,37.9726,8726.4536,324.4699
"103",4,2020,4520610091145.18,79817712.09,56636.6784110258,5.67066666666667,448.38316154875,5.29686673606435,1233.597,8.1737,0,7.2172,10.2374,0,14512.9932,663.8232,39.6517,8104.386,315.6049
"104",5,2020,1811162992935.86,30948138.72,58522.5176002398,5.895,1228.83655942339,2.7305161442848,1233.597,8.1737,0,7.2172,10.2374,0,14512.9932,663.8232,39.6517,8104.386,315.6049
"105",6,2020,345871883114.553,3830165.73,90302.0671939836,6.245,1633.09375,1.82876664847136,1233.597,8.1737,0,7.2172,10.2374,0,14512.9932,663.8232,39.6517,8104.386,315.6049
